Epoch:   0 | Steps:   1732 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   1807 | Rewards:     1 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   1835 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   1862 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   1935 | Rewards:     1 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   1961 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   1987 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2012 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2037 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2091 | Rewards:     1 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2116 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2146 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2175 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2203 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2231 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2256 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2265 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2292 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2322 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2354 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2380 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2407 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2460 | Rewards:     1 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2485 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2556 | Rewards:     1 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
Epoch:   0 | Steps:   2601 | Rewards:     0 | Mean Loss: 0.000 | Mean Q: 0.000 | Epsilon: 1.000
